,pitch,start,end,duration,next_note
14517,67,26,28,2,69_2
14518,69,12,16,4,62_2
14519,67,26,28,2,69_2
14520,67,26,28,2,69_2
14521,67,26,28,2,64_2
14522,60,29,30,1,65_1
14523,59,20,24,4,60_4
14524,62,22,24,2,62_4
14525,71,26,28,2,71_2
14526,69,26,28,2,64_2
14527,69,26,28,2,67_2
14528,67,20,22,2,60_2
14529,60,20,24,4,65_4
14530,60,20,24,4,65_4
14531,62,24,26,2,65_2
14532,64,26,28,2,62_2
14533,67,26,28,2,67_2
14534,65,26,28,2,64_2
14535,65,26,28,2,64_2
14536,62,26,28,2,69_2
14537,71,26,28,2,65_2
14538,64,24,26,2,67_2
14539,67,26,28,2,62_2
14540,71,26,28,2,60_2
14541,69,24,26,2,60_2
14542,71,20,24,4,67_4
14543,62,26,28,2,64_2
14544,62,8,12,4,71_2
14545,62,8,12,4,71_2
14546,69,24,28,4,71_2
14547,67,20,24,4,65_4
14548,69,20,24,4,60_2
14549,65,26,28,2,62_2
14550,69,24,26,2,60_2
14551,69,4,6,2,69_2
14552,65,26,28,2,71_2
14553,62,26,28,2,57_2
14554,57,18,20,2,57_2
14555,62,24,26,2,69_2
14556,71,26,28,2,67_2
14557,64,24,26,2,64_2
14558,69,24,26,2,67_2
14559,67,16,20,4,60_4
14560,67,20,22,2,62_2
14561,67,27,28,1,70_1
14562,69,8,12,4,62_4
14563,69,24,26,2,69_2
14564,62,2,4,2,69_4
14565,62,8,10,2,69_2
14566,60,24,26,2,71_2
14567,71,4,8,4,62_4
14568,67,22,24,2,71_2
14569,67,20,24,4,64_2
14570,64,24,26,2,57_2
14571,69,20,24,4,64_4
14572,65,26,28,2,71_2
14573,65,26,28,2,60_2
14574,65,26,28,2,60_2
14575,65,26,28,2,60_2
14576,67,24,26,2,65_2
14577,67,26,28,2,67_2
14578,60,4,6,2,64_2
14579,67,26,28,2,69_2
14580,60,24,26,2,71_2
14581,71,20,22,2,71_2
14582,67,26,28,2,65_2
14583,64,26,28,2,64_2
14584,64,26,28,2,64_2
14585,60,26,28,2,64_2
14586,69,20,24,4,71_4
14587,71,26,28,2,60_2
14588,60,26,28,2,65_2
14589,67,24,26,2,67_2
14590,62,26,28,2,69_2
14591,60,24,28,4,67_2
14592,62,26,28,2,64_2
14593,62,26,28,2,64_2
14594,60,26,28,2,65_2
14595,62,26,28,2,59_2
14596,64,21,22,1,64_1
14597,69,24,26,2,60_2
14598,69,12,16,4,65_4
14599,67,26,28,2,64_2
14600,67,26,28,2,64_2
14601,69,26,28,2,71_2
14602,69,12,16,4,69_4
14603,65,18,20,2,71_4
14604,71,14,16,2,57_4
14605,59,22,24,2,69_4
14606,65,24,26,2,69_2
14607,71,26,28,2,65_2
14608,69,20,24,4,62_4
14609,67,26,28,2,67_2
14610,64,26,28,2,60_2
14611,64,26,28,2,69_2
14612,60,26,28,2,69_2
14613,67,26,28,2,69_2
14614,67,16,20,4,60_4
14615,65,24,26,2,60_2
14616,57,20,22,2,62_2
14617,71,2,4,2,67_2
14618,65,24,26,2,65_2
14619,64,2,4,2,62_2
14620,67,10,12,2,60_2
14621,62,22,24,2,62_2
14622,67,26,28,2,64_2
14623,69,26,28,2,71_2
